Person,Category,Quality,Text
A,Problem Investigation,Positive,How many of your friends are staying?
A,Problem Investigation,Positive,Do you prefer to stay in one room or separate rooms?
A,Problem Investigation,Positive,"Alright, let me check if you have an available room for what days?"
A,Problem Resolution,Positive,"Thank you, so, there is one available premium room that is good for three people with three separate beds."
A,Problem Resolution,Positive,"It comes with free Wi-Fi cable channels, minibar and mini kitchens."
A,Problem Resolution,Positive,That's 99 dollars per night.
A,Problem Resolution,Positive,There's also a deluxe room available that has the same amenities as premier except that it has its own swimming pool.
A,Problem Resolution,Positive,That costs $150 per night.
A,Problem Resolution,Positive,Which one you prefer?
A,Problem Resolution,Positive,Yes there's free breakfast.
A,Problem Investigation,Positive,Are you going to reserve today?
A,Account Verification,Positive,May I have the names of the guests?
A,Problem Resolution,Positive,"Great, so you will check in on September 5 at 2 p.m. and check out on September 7 12 noon."
A,Problem Resolution,Positive,"So that's 2 nights for $198 and we have to add the taxes, so the total amount is 217 dollars and 56 cents."
A,Problem Resolution,Positive,"Yes, you should actually pay now."
A,Problem Resolution,Positive,"Alright, so just to recap I have already reserved the premier room for you for two nights on September 5 to 7 with total cost two hundred and seventeen dollars and 56 cents."
A,Problem Resolution,Positive,This is actually considered booked.
A,Problem Resolution,Positive,"If you decide to cancel within 15 days before your check-in date, there will be no cancellation fee and the money will be refunded to you in 10 business days. "
A,Problem Resolution,Positive,"But, if you can so within three days before your check-in date, half of the total amount will be forfeited, while, if you cancel within 24 hours before check-in the total amount will be forfeited."
A,Closure,Positive,Do you have any other questions Pauline?
A,Closure,Positive,You're welcome.
A,Closure,Positive,Thanks for calling our hotel.
A,Closure,Positive,We look forward to your enjoyable stay. 
A,Closure,Positive,Bye.
A,Greetings,Positive,"Hi, thank you for calling X Y Z."
A,Greetings,Positive,My name is Ashley. 
A,Greetings,Positive,How may i help?
A,Engagement,Positive,I understand that is really frustrating.
A,Account Verification,Positive,May I have your account number please?
A,Engagement,Positive,"Yes, yes, ma'am. I will do my best."
A,Account Verification,Positive,May I have your account number so that I can check your account?
A,Engagement,Positive,Thank you.
A,Account Verification,Positive,"For verification purposes, can I get your name and birth date, please?;"
A,Engagement,Positive,Sorry. I'm still checking some information.
A,Problem Investigation,Positive,"Okay, according to our systems data you did pay your last bill last October 20, which was two days ago in one of our affiliated payment centers."
A,Problem Investigation,Positive,"Unfortunately when you pay through that affiliated center, it takes about 2 to 3 business days more to complete the payment processing."
A,Problem Investigation,Positive,So that means that the system considered the payment as still pending and not completed yet.
A,Problem Investigation,Positive,"So the connection has been cut off, but."
A,Engagement,Positive,"I am really sorry, Miss America."
A,Engagement,Positive,I understand your situation is very tough right now.
A,Account Verification,Positive,"But, what I can do is to open a ticket or submit a report so that the other department assigned can manually complete your payment and reconnect your internet."
A,Account Verification,Positive,I just need the payment ID number ma'am and which center did you make the payment?
A,Engagement,Positive,"Thanks so much for your patience, Miss America."
A,Problem Resolution,Positive,I'm going to submit the report
A,Problem Resolution,Positive,"I'm done with the report, please expect to have your connection reinstated within 24 hours."
A,Problem Resolution,Positive,"As much as I'd love to that has been a turnaround time for reconnection since then, so to give enough time for the team to manually complete the payment."
A,Engagement,Positive,"Again, I'm really sorry."
A,Closure,Positive,Is there anything else?
A,Closure,Positive,"Bye, yes, ma'am. "
A,Closure,Positive,Thank you for calling XYZ.
A,Greetings,Positive,Hello.
A,Greetings,Positive,Good morning. 
A,Greetings,Positive,My name is Kate.
A,Greetings,Positive,"Calling from deluxe credit card, may I speak with miss Anastasia Robinson?"
A,Greetings,Positive,"Hi, good morning Miss Robinson."
A,Greetings,Positive,I'm calling because deluxe credit card actually has a good news for you.
A,Greetings,Positive,Do you have 5 to 7 minutes to talk?
A,Problem Investigation,Positive,So we are well aware that you have been a valued customer of deluxe for 8 years now. 
A,Problem Resolution,Positive,"And, we would like to reward you with a platinum MasterCard that has amazing benefits and free annual fee for life."
A,Engagement,Positive,How does that sound to you?
A,Problem Resolution,Positive,The Platinum MasterCard is a highly prestigious card for highly career oriented individuals like you.
A,Problem Resolution,Positive,"This card has non-expiring rewards points, free travel insurance up to $20,000, repurchase protection up to $1000, free access to the sky view lounges in different airports locally and abroad, up to five supplementary card. holders with free annual membership fees for life."
A,Problem Resolution,Positive,"And as mentioned, your annual fee will automatically be waived as well."
A,Problem Resolution,Positive,Of course it also has a higher credit limit than your usual plastic or regular credit cards.
A,Engagement,Positive,Ok that sounds good?
A,Account Verification,Positive,"Since you are already pre-approved, I just need to confirm your building address, phone number and email address."
A,Account Verification,Positive,"Got it, thank you so much."
A,Account Verification,Positive,I'll have this submitted and please expect your card in 10 business days and don't hesitate to call our toll-free number for any assistance.
A,Account Verification,Positive,"Welcome, thank you so much, bye."
A,Greetings,Positive,Thanks for calling quick Internet.
A,Greetings,Positive,My name is Anna.
A,Greetings,Positive,Can I have your phone number or your account number please?
A,Greetings,Positive,"So, I would say my name is Anna."
A,Account Verification,Positive,Can I have your account or phone number please?
A,Engagement,Positive,Oh that's very inconvenient.
A,Engagement,Positive,"I understand how you feel, your friends online might already be waiting for you but don't you worry, you've got the right person on the line to help you."
A,Account Verification,Positive,May I know the name of the account?
A,Account Verification,Positive,Sounds great so I was saying may I know the name on the account?
A,Account Verification,Positive,"Yes, if the account is under your name."
A,Engagement,Positive,Thank You Mr. Jones.
A,Engagement,Positive,Oh I just said thank you Mr. Jones.
A,Problem Investigation,Positive,"Shows here that you don't have a DSL signal, that's why.you cannot connect"
A,Problem Investigation,Positive,We can actually fix this over the phone and I'd be glad to walk you through.
A,Problem Investigation,Positive,Would that be fine?
A,Problem Investigation,Positive,"Let me ask, can you please check your modem now and tell me which lights are on?"
A,Problem Investigation,Positive,"Alright, clearly, there is something wrong with your signal which is highly likely connected to your cell phone service."
A,Problem Resolution,Positive,Can you please check again your telephone cord is connected to your modem?
A,Problem Resolution,Positive,"Don't worry, that's the last thing we have to check if the cord is indeed not connected tightly plug it back into your modem and everything should be good so that we do not have to call a technician to check out what's wrong with the modem."
A,Problem Resolution,Positive,Can you try accessing some website?
A,Closure,Positive,My pleasure to assist you.
A,Closure,Positive,Have I addressed your concerns?
A,Closure,Positive,Thanks for calling Quick Internet.
A,Closure,Positive,Once again this is Anna.
A,Closure,Positive,Have a wonderful day.
A,Greetings,Positive,Thank you for calling Sprites.
A,Greetings,Positive,My name is Rhea.
A,Greetings,Positive,How can I help you today?
A,Greetings,Positive,Oh hi Francis.
A,Greetings,Positive,I'll be glad to answer any questions that you have about your bill.
A,Account Verification,Positive,May I have the account number or the phone number of the account?
A,Engagement,Positive,Great! Thank you. 
A,Problem Investigation,Positive,"So, may I know what your question is?"
A,Engagement,Positive,Oh I see.
A,Problem Investigation,Positive,"I understand sometimes looking at your bill can be quite confusing. So, let me check your account and let's go through this together ok?"
A,Problem Investigation,Positive,By the way do you have a copy of your bill right now?
A,Problem Investigation,Positive,Let's go over your bill together and see the difference.
A,Problem Investigation,Positive,"Upon checking your account., yes, you're right."
A,Problem Investigation,Positive,The bill last month was $25 however this billing period there is an additional charge of 10 dollars for a data usage that totals to 3 gigs.
A,Problem Resolution,Positive,"Well, no, it does not."
A,Problem Resolution,Positive,But I will be happy to add a data to your plan.
A,Problem Resolution,Positive,For only five dollars more you get 10 gigs of data and it's more value for your money considering the current situation.
A,Engagement,Positive,How does that sound to you?
A,Problem Resolution,Positive,"That's good, so I'll add the data plan to your account right away and since you are a valued customer, I will also take care of the $10 charge for you."
A,Problem Resolution,Positive,So let me just process the reversal real quick okay and it's done so let me just recap everything we have talked about the $10 charge.
A,Problem Resolution,Positive,I have added a data plan of 10 gigs to your account so that's going to be $5 more in addition to the $25 that you are already paying every month and the $10 charge for this billing period was already reversed.
A,Problem Resolution,Positive,You're welcome and just to let you know you can also check your data usage by texting data to 777.
A,Closure,Positive,"So, have I addressed all your concerns today?"
A,Closure,Positive,Well it's been my pleasure to assist you Francis.
A,Closure,Positive,"Once again, my name is Rhea."
A,Closure,Positive,Thank you for calling Sprite and hope you have a great day
A,Greetings,Positive,Thank you for calling Life Member Services.
A,Greetings,Positive,This is Raya.
A,Greetings,Positive,How can I help you today?
A,Engagement,Positive,"Sure, I'll be glad to assist you with that mail."
A,Problem Investigation,Positive,Can you please tell me more about the mail you received?
A,Engagement,Positive,I am sincerely glad to know that you're all good now.
A,Problem Investigation,Positive,I will be happy to check your account so that I can help you better.
A,Account Verification,Positive,May I have your complete name and member ID?
A,Account Verification,Positive,How about your date of birth and address?
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,"Let me check your account real quick, ok?"
A,Problem Investigation,Positive,"I've been checking here Peter, it shows that a claim for $1000 was paid last week that was August 12 and that it says that it actually covers your entire bill."
A,Problem Resolution,Positive,"By the way that letter that you received, on the topmost right part, does it say this is not a bill?"
A,Problem Resolution,Positive,"Ok, that's good to know because what you have there is an EOB or an explanation of benefits."
A,Problem Resolution,Positive,It should show the breakdown of the charges and the amount that we your insurance paid for.
A,Problem Resolution,Positive,"So you see every time a claim is processed, you will get that information for transparency see and I truly apologize for the confusion that this letter has cost you."
A,Problem Resolution,Positive,I know I understand I'm glad to clear things up for you and again no need to worry about the hospital bill we took care of it for you.
A,Engagement,Positive,"Just take care of yourself, okay?"
A,Closure,Positive,Have I addressed your concerns today?
A,Closure,Positive,"Yes, it is."
A,Closure,Positive,"Well Peter, if there's nothing else, thank you so much for choosing Life Member Services."
A,Closure,Positive,You take care and I'm wishing for your speedy recovery
A,Greetings,Positive,Great day here at Amazing Flowers.
A,Greetings,Positive,This is Rael.
A,Greetings,Positive,Would you like to place an order?
A,Engagement,Positive,I'll be happy to order the bouquet for you.
A,Account Verification,Positive,Can I have your name please?
A,Engagement,Positive,Thank You Amanda.
A,Problem Investigation,Positive,"So, just to confirm your order is a bouquet of red and white roses that's going to be $45."
A,Problem Resolution,Positive,Would you like to add a pack of Hardy chocolates?
A,Problem Resolution,Positive,You only need to add seven dollars more for that.
A,Problem Resolution,Positive,"Since it's already after the cutoff of orders, the package will be delivered the next day, Wednesday."
A,Engagement,Positive,Perfect.
A,Account Verification,Positive,Can I please have the name and a shipping address for the order?
A,Engagement,Positive,Thank you.
A,Problem Resolution,Positive,"Would you like to charge that on Visa, Mastercard or American Express?"
A,Account Verification,Positive,"Thank you, and, the expiration date and CVV code please."
A,Account Verification,Positive,"Alright and, can I have the billing address of your card please?"
A,Engagement,Positive,Thank You Amanda.
A,Account Verification,Positive,"All I need now, is the email address for the order and your mobile number and we're all set."
A,Problem Resolution,Positive,Let me repeat that.
A,Problem Resolution,Positive,That's miss Amanda Bynes.
A,Problem Resolution,Positive,That's M I S S A M A N D A B Y N E S.
A,Problem Resolution,Positive,"So that's Miss Amanda Bynes, your first name and your last name @ gmail.com and number is 3 1 0 3 4 5 0 9 8 4."
A,Problem Resolution,Positive,Is that right?
A,Problem Resolution,Positive,Right so your order has been processed.
A,Problem Resolution,Positive,That's one bouquet of red and white roses with one pack of hardy chocolates.
A,Problem Resolution,Positive,That's a total of $52.
A,Problem Resolution,Positive,It will be delivered this on Wednesday and you will receive an electronic receipt to your email address and a notification to your mobile.
A,Problem Resolution,Positive,"And, today is the last day of free shipping, so it's good that you will not have to pay a delivery fee at all."
A,Closure,Positive,Do you have any questions for me?
A,Closure,Positive,My pleasure.
A,Closure,Positive,Thank you so much for your order Amanda.
A,Closure,Positive,Have a great evening.
A,Greetings,Positive,"Hello, Good Morning."
A,Greetings,Positive,Thank you for calling PLDC customer service.
A,Greetings,Positive,This is Christine speaking.
A,Greetings,Positive,How may I help you?
A,Engagement,Positive,I appreciate that you bring this to out attention sir And sorry for the inconvenience sir.
A,Problem Investigation,Positive,"I understand that it is very frustrating and to work out on your problem about the abrupt disconnection, is that right sir?"
A,Account Verification,Positive,"But first, give me your account number sir."
A,Account Verification,Positive,"Okay sir, I got it and for verification you will need your name and your birthday"
A,Problem Investigation,Positive,"Thank you, just a minute sir,  I'll just look at our data."
A,Problem Investigation,Positive,"According to our system's data, that you did pay your last bill, last February 5 which was 2 days ago in one of our affiliated payment centers."
A,Problem Investigation,Positive,"Unfortunately sir, when you pay through that affiliated center, it takes about three to five business days more to complete the payment processing so that means that the system conceded the payment as still pending and not completed yet."
A,Problem Investigation,Positive,"So, the connection has been cut off. But."
A,Engagement,Positive,I understand that your situation is very tough right now.
A,Problem Resolution,Positive,"Since you did pay for your connection, what I can do is to open a ticket or submit a report so that the other department can immediately complete your payment and reconnect your internet as soon as possible. "
A,Account Verification,Positive,"And to make it possible sir, I just need your payment ID."
A,Engagement,Positive,"Yes sir, thank you."
A,Problem Resolution,Positive,I am now doing the report and will submit it as soon as I finish this.
A,Engagement,Positive,Please stay online for a minute Mr. Sobremonte.
A,Problem Resolution,Positive,"Hello sir, kindly expect to have your reconnection within 24 hours."
A,Problem Resolution,Positive,We will send you a text message informing that you have already paid and connected to the internet service to your phone number.
A,Engagement,Positive,"Again sir, I'm terribly sorry."
A,Closure,Positive,Is there anything else I can help you with sir?
A,Closure,Positive,"If none, thanks for calling and don't hesitate to call again if ever you'll have a problem with your connection."
A,Closure,Positive,Have a great day sir.
A,Closure,Positive,Bye.
A,Greetings,Positive,Thank you for calling Martha's flowers.
A,Greetings,Positive,How may I assist you?
A,Engagement,Positive,I'd be happy to take care of your order.
A,Account Verification,Positive,May I have your name please?
A,Engagement,Positive,Thank you for that information Randall.
A,Account Verification,Positive,May I have your home or office number area code first?
A,Account Verification,Positive,Do you have a fax number or email address?
A,Account Verification,Positive,May I have your shipping address?
A,Engagement,Positive,Thank you for the information.
A,Problem Investigation,Positive,What product are you interested in purchasing?
A,Problem Investigation,Positive,"A dozen of red roses, do you want long stems?"
A,Problem Resolution,Positive,"Alright Randall, let me process your order. One moment please."
A,Problem Resolution,Positive,Okay Randall. we are ordering one dozen of long-stemmed red roses.
A,Problem Resolution,Positive,The total of your orders is $40 and it will be shipped to your address within 24 hours.
A,Problem Resolution,Positive,Within 24 hours.
A,Closure,Positive,Is there anything else I can help you with?
A,Closure,Positive,No problem Randall.
A,Closure,Positive,Thank you for calling Martha's Flowers.
A,Closure,Positive,Have a nice day.
A,Greetings,Positive,Thank you for calling to Delonix.
A,Greetings,Positive,This is Nina speaking.
A,Greetings,Positive,How can I help you today?
A,Engagement,Positive,Sure. I will be happy to assist you.
A,Account Verification,Positive,Can I start with your name please?
A,Problem Investigation,Positive,Thank you Mr. Jeremy and did you want the invoice made out in your name or your company name?
A,Account Verification,Positive,"Okay, no problem and can I get the delivery address please?"
A,Engagement,Positive,Thank You Mr. Logan.
A,Account Verification,Positive,And do you have an email address so I can send your receipt and online tracking too?
A,Problem Investigation,Positive,"Great, now 217 spotlights are available in 35 watts or 55 watts, which one do you want?"
A,Problem Investigation,Positive,All right and do you know what colour temperature you want for the vaults?
A,Problem Investigation,Positive,"Okay, Thank you, now, for the postage, we have registered post or express post."
A,Problem Investigation,Positive,Which one are you interested in?
A,Problem Resolution,Positive,"Sure, registered post is $12.45 and the delivery time is 3 to 5 business days or express post is $18.85 and delivery time is 1 to 2 days."
A,Account Verification,Positive,"Great, so all I need now is your visa or MasterCard details please?"
A,Problem Resolution,Positive,And the expiry please?
A,Engagement,Positive,Thank you for that.
A,Account Verification,Positive,"And, can you also grabbed the security number on the card?"
A,Problem Resolution,Positive,It's the last 3 digits on the back of the card.
A,Problem Resolution,Positive,"It's a Visa card number 43211234567821234, expiry 10/14 and CCV is 123."
A,Engagement,Positive,"Okay great, thank you Mr. Logan."
A,Problem Resolution,Positive,"So we have one pair of seven-inch spotlights and 55 watt 6000k going to Jeremy Logan at 123, Blue Ridge Crescent, Bonneville, 2106, NSW and that will be shipped out today."
A,Problem Resolution,Positive,"Once your order has been shipped, Jenny will email your online tracking number but you should receive your order before 12 o'clock tomorrow, Sydney time."
A,Closure,Positive,Is there anything else that I can help you with Mr. Logan?
A,Closure,Positive,You're welcome and thank you very much for choosing Delonix and enjoy the rest of your afternoon.
A,Closure,Positive,"Thank you, bye."
A,Greetings,Positive,Thank you for calling Amazon customer services.
A,Greetings,Positive,This is Georgina.
A,Greetings,Positive,How can I help?
A,Engagement,Positive,"Hello Brian, I'm really sorry if you haven't received your parcel."
A,Engagement,Positive,"No worries, since you have me on the line, I'll be more than willing to assist."
A,Account Verification,Positive,"Alright, for security purposes, can I have the complete name on the account?"
A,Account Verification,Positive,"Okay, can I also have your email address?"
A,Engagement,Positive,Thanks for verifying those information to me.
A,Problem Investigation,Positive,"It seems that you are referring to Meets Attack 500x5, am i right?"
A,Problem Investigation,Positive,"Cool, based on the information here yeah, it already passed the estimated delivery date."
A,Problem Resolution,Positive,"It is quite late for a week already. Since the item is shipped and sold by amazon, we can process a full refund or a replacement."
A,Problem Resolution,Positive,Which one would work for you?
A,Engagement,Positive,I'm really sorry for the inconvenience Brian.
A,Problem Resolution,Positive,"To compensate, I can request a refund for that order and process a replacement right now."
A,Problem Resolution,Positive,"Then, expedited to one day shipping without additional cost for the shipping."
A,Problem Resolution,Positive,Let me process your order.
A,Problem Resolution,Positive,"Brian, the refund was already requested."
A,Problem Resolution,Positive,Expect to receive the refund within two to three business days.
A,Problem Resolution,Positive,It will be credited back to the original payment method you use in placing the order.
A,Problem Resolution,Positive,"Also, I've already processed the replacement you can have the item by today until tomorrow."
A,Problem Resolution,Positive,Then the confirmation regarding our conversation will be sent to your account.
A,Engagement,Positive,"If you want, I can also help you track your order and reach you back tomorrow just to make sure that you are receiving the item within the expected date."
A,Account Verification,Positive,"Great, can I have your phone number?"
A,Engagement,Positive,"Got it, thanks."
A,Closure,Positive,"Aside from this, is there anything else that I can help you with?"
A,Engagement,Positive,"Thank you, Brian."
A,Closure,Positive,I think we are all set.
A,Closure,Positive,"For other queries, feel free to visit our help pages."
A,Closure,Positive,Thank you for calling amazon and have a nice day.
A,Greetings,Positive,Thank you for calling Rex Global customer service.
A,Greetings,Positive,This is Megan. 
A,Greetings,Positive,How can I help you?
A,Engagement,Positive,I am sorry to hear about a dollar charge in your account.
A,Engagement,Positive,But don't you worry. I can definitely help you with that.
A,Account Verification,Positive,"Alright, Can you start with your name please?"
A,Account Verification,Positive,How about your email address?
A,Problem Investigation,Positive,"Max, when you place your first order, Rex Global contacts your issuing bank to confirm the validity of the payment method."
A,Problem Investigation,Positive,It is not an actual charge but a one dollar authorisation hold.
A,Problem Resolution,Positive,"Well, it isn't that long, most often, it takes 1 to 2 business days."
A,Problem Resolution,Positive,The authorisation will be removed from your account once a transaction is already processed.
A,Engagement,Positive,You're most welcome.
A,Problem Resolution,Positive,I can also send a confirmation regarding this call for your reference.
A,Closure,Positive,"Aside from this, is there anything else that I can assist?"
A,Closure,Positive,I'm really glad to help!
A,Closure,Positive,"You may also see the help pages for other queries, Max."
A,Closure,Positive,Thank you for calling Rex Global and have a nice day.
A,Closure,Positive,Goodbye.
A,Greetings,Positive,Thank you for calling JP International.
A,Greetings,Positive,This is Carla.
A,Greetings,Positive,Can I have your name please?
A,Greetings,Positive,Hello Athena.
A,Greetings,Positive,How are you today and how can I assist?
A,Engagement,Positive,I am really sorry to hear if you haven't received your item for a special event.
A,Engagement,Positive,Also if it was tracked as delivered although not yet received.
A,Engagement,Positive,I do understand your frustration right now for this inconvenience but no worries.
A,Engagement,Positive,Rest assured that this company isn't a scam and I can definitely help you.
A,Account Verification,Positive,"Alright, For security purposes can I have your complete name please?"
A,Engagement,Positive,Thank you.
A,Account Verification,Positive,Can I also have the email address associated with your account?
A,Engagement,Positive,Okay thank you.
A,Account Verification,Positive,How about the last four digits of the order number?
A,Account Verification,Positive,"Got it, so those were man sneaker shoes and an iPhone."
A,Problem Investigation,Positive,"One second, let me check the details for a while."
A,Problem Investigation,Positive,"Based on the information, here it was delivered and received."
A,Account Verification,Positive,To verify could you tell me the shipping address you wanted to ship the parcel?
A,Problem Investigation,Positive,"Hmm, based on the record here, it seems that the parcel was delivered to the wrong address."
A,Engagement,Positive,"Oh, I understand where you're coming from Athena."
A,Problem Resolution,Positive,"To compensate, I can process a replacement and expedite in the same day shipping."
A,Problem Resolution,Positive,You don't have to pay for the shipment.
A,Problem Resolution,Positive,You just have to wait.
A,Problem Resolution,Positive,I'll get back to you and notify you once the package shipped out.
A,Problem Resolution,Positive,I'll be tracking the package and I will check with the carrier just to make sure that it will be delivered in the correct address and within a day.
A,Problem Resolution,Positive,Would that work for you?;
A,Engagement,Positive,No problem.
A,Problem Resolution,Positive,I've successfully processed a replacement and sent you the confirmation regarding this call as your reference.
A,Problem Resolution,Positive,Expect to receive the products within a day.
A,Engagement,Positive,"It's okay, I understand I would feel the same way if I am in your situation."
A,Engagement,Positive,Thank you for your patience by the way.
A,Closure,Positive,Anything else that I can help?
A,Closure,Positive,That's good to hear.
A,Closure,Positive,I'm glad to help you.
A,Closure,Positive,"For other concerns, feel free to visit our help pages."
A,Closure,Positive,Thank you for calling JP  International.
A,Closure,Positive,Have a nice day.
A,Closure,Positive,Goodbye.
A,Greetings,Positive,Hi.
A,Greetings,Positive,Thank you for calling home supplies.
A,Greetings,Positive,This is Candice.
A,Greetings,Positive,How may I help you?
A,Engagement,Positive,Thank You.
A,Problem Investigation,Positive,Give me one moment please so I can pull up your account.
A,Problem Investigation,Positive,"Okay, I got your order here and it was for a convection oven for 129."
