Category,Text
Account Verification,can i have your mobile number please?
Account Verification,ok it's not coming up like that. can i have your last name please?
Account Verification,may i please have your account number and password?
Account Verification,ok now so i can access the account menu verifies the last four digits of your social number
Account Verification,so i see on the line that ends in 24956 it has the $40 upgrate do you want it?
Account Verification,for us to begin with may i have your account number please
Account Verification,just to confirm that's 0123456789
Account Verification,now for verification purposes may i have your name and date of birth please
Account Verification,but before we move on may i have your full name and your eight digit subscriber number please
Account Verification,ok now could you kindly tell me your router's product number please?
Account Verification,ok let me verify it on my system and i'll try to set it up remotely
Account Verification,before we start may i please have your name and your best call back number incase the call got disconnected
Account Verification,thank you may i also have the model of your printer? it's located in front of your printer at the lower right
Account Verification,ok mr.matthews can i have the best number you can be reached out and also your apartment number
Account Verification,ok great let me get your name what's your first name please
Account Verification,and you're last name
Account Verification,thank you and may i have your call back number
Account Verification,okay let me get your name and number and I can patch you right through to the plumber your name sir
Account Verification,ok and your call back number
Account Verification,sure bill couch is in charge of the over the phone application process if you could just give me your name and phone number I can pass you right through to him
Account Verification,and i also need your phone number brian
Account Verification,sure that's great can I have their names and phone numbers please mr. Jones
Account Verification,is your email still Z Jones at gmail.com
Account Verification,first could I have your name sir
Account Verification,and a number where you can be reached
Account Verification,and could I get the address of where you would like the security system installed
Account Verification,and your zip code please
Account Verification,okay what zip code are you located in
Account Verification,okay what is your name sir
Account Verification,may have your first name please
Account Verification,and your last name
Account Verification,okay and a callback number 
Account Verification,what is your first and last name
Account Verification,okay can I also have your email address
Account Verification,may have your name?
Account Verification,can i have your name?
Account Verification,okay I think I found your profile here can I have you verify your address and phone number please
Account Verification,before anything Alice may I have your name please so I can address you properly as well is tainted for the appointment wrong
Account Verification,let's start first by verifying account number
Account Verification,may i please verify the last four digit of your social security number?
Account Verification,may i have your account number
Account Verification,for verification purpose mam can i get your name
Account Verification,Yes
Account Verification,Can you provide me your account number please?
Account Verification,May I please have your Phone or Account Number?
Account Verification,Got it
Account Verification,may you have your complete name
Account Verification,can you have your email address
Account Verification,may have your name please
Account Verification,thank you for that information Randall may have your home or office number area code first
Account Verification,but before anything else may I have your name so that I can address you properly
Account Verification,what is your name
Account Verification,and your last name
Account Verification,i'll be glad to help you may i please get your bank account number and the name on the account
Account Verification,ok can you please verify the last four digits of your id
