Category,Text,Empathy and Understanding,Advice and Further Information,Instructions
Problem Resolution,"And as mentioned, your annual fee will automatically be waived as well.",0,1,0
Problem Resolution,"Of course it also has a higher credit limit than your usual plastic or regular credit cards.",0,1,0
Problem Resolution,"Can you please check again your telephone cord is connected to your modem?",0,0,1
Problem Resolution,"Don't worry, that's the last thing we have to check if the cord is indeed not connected tightly plug it back into your modem and everything should be good so that we do not have to call a technician to check out what's wrong with the modem.",0,0,1
Problem Resolution,"Can you try accessing some website?",0,0,1
Problem Resolution,"Well, no, it does not.",0,0,0
Problem Resolution,"But I will be happy to add a data to your plan.",0,1,0
Problem Resolution,"For only five dollars more you get 10 gigs of data and it's more value for your money considering the current situation.",0,1,0
Problem Resolution,"That's good, so I'll add the data plan to your account right away and since you are a valued customer, I will also take care of the $10 charge for you.",1,0,1
Problem Resolution,"So let me just process the reversal real quick okay and it's done so let me just recap everything we have talked about the $10 charge.",0,1,0
Problem Resolution,"I have added a data plan of 10 gigs to your account so that's going to be $5 more in addition to the $25 that you are already paying every month and the $10 charge for this billing period was already reversed.",1,0,1
Problem Resolution,"You're welcome and just to let you know you can also check your data usage by texting data to 777.",0,1,0
Problem Resolution,"By the way that letter that you received, on the topmost right part, does it say this is not a bill?",0,0,1
Problem Resolution,"Ok, that's good to know because what you have there is an EOB or an explanation of benefits.",0,1,0
Problem Resolution,"It should show the breakdown of the charges and the amount that we your insurance paid for.",0,1,0
Problem Resolution,"So you see every time a claim is processed, you will get that information for transparency see and I truly apologize for the confusion that this letter has cost you.",1,1,0
Problem Resolution,"I know I understand I'm glad to clear things up for you and again no need to worry about the hospital bill we took care of it for you.",1,1,0
Problem Resolution,"Would you like to add a pack of Hardy chocolates?",0,0,1
Problem Resolution,"You only need to add seven dollars more for that.",0,0,1
Problem Resolution,"Since it's already after the cutoff of orders, the package will be delivered the next day, Wednesday.",0,1,0
Problem Resolution,"Would you like to charge that on Visa, Mastercard or American Express?",0,0,1
Problem Resolution,"Let me repeat that.",0,0,1
Problem Resolution,"That's miss Amanda Bynes.",0,0,1
Problem Resolution,"That's M I S S A M A N D A B Y N E S.",0,0,1
Problem Resolution,"So that's Miss Amanda Bynes, your first name and your last name @ gmail.com and number is 3 1 0 3 4 5 0 9 8 4.",0,0,1
Problem Resolution,"Is that right?",0,0,1
Problem Resolution,"Right so your order has been processed.",0,0,1
Problem Resolution,"That's one bouquet of red and white roses with one pack of hardy chocolates.",0,0,1
Problem Resolution,"That's a total of $52.",0,0,1
Problem Resolution,"It will be delivered this on Wednesday and you will receive an electronic receipt to your email address and a notification to your mobile.",0,1,0
Problem Resolution,"And, today is the last day of free shipping, so it's good that you will not have to pay a delivery fee at all.",0,1,0
Problem Resolution,"Since you did pay for your connection, what I can do is to open a ticket or submit a report so that the other department can immediately complete your payment and reconnect your internet as soon as possible.",1,1,0
Problem Resolution,"I am now doing the report and will submit it as soon as I finish this.",0,0,1
Problem Resolution,"Hello sir, kindly expect to have your reconnection within 24 hours.",0,1,0
Problem Resolution,"We will send you a text message informing that you have already paid and connected to the internet service to your phone number.",0,1,0
Problem Resolution,"Alright Randall, let me process your order. One moment please.",0,0,1
Problem Resolution,"Okay Randall. we are ordering one dozen of long-stemmed red roses.",0,0,1
Problem Resolution,"The total of your orders is $40 and it will be shipped to your address within 24 hours.",0,0,1
Problem Resolution,"Within 24 hours.",0,0,1
Problem Resolution,"Sure, registered post is $12.45 and the delivery time is 3 to 5 business days or express post is $18.85 and delivery time is 1 to 2 days.",0,1,0
Problem Resolution,"And the expiry please?",0,0,1
Problem Resolution,"It's the last 3 digits on the back of the card.",0,0,1
Problem Resolution,"It's a Visa card number 43211234567821234, expiry 10/14 and CCV is 123.",0,0,1
Problem Resolution,"So we have one pair of seven-inch spotlights and 55 watt 6000k going to Jeremy Logan at 123, Blue Ridge Crescent, Bonneville, 2106, NSW and that will be shipped out today.",0,0,1
Problem Resolution,"Once your order has been shipped, Jenny will email your online tracking number but you should receive your order before 12 o'clock tomorrow, Sydney time.",0,1,0
Problem Resolution,"It is quite late for a week already. Since the item is shipped and sold by amazon, we can process a full refund or a replacement.",0,1,0
Problem Resolution,"Which one would work for you?",0,0,1
Problem Resolution,"To compensate, I can request a refund for that order and process a replacement right now.",0,0,1
Problem Resolution,"Then, expedited to one day shipping without additional cost for the shipping.",0,0,1
Problem Resolution,"Let me process your order.",0,0,1
Problem Resolution,"Brian, the refund was already requested.",0,1,0
Problem Resolution,"Expect to receive the refund within two to three business days.",0,1,0
Problem Resolution,"It will be credited back to the original payment method you use in placing the order.",0,1,0
Problem Resolution,"Also, I've already processed the replacement you can have the item by today until tomorrow.",0,1,0
Problem Resolution,"Then the confirmation regarding our conversation will be sent to your account.",0,1,0
Problem Resolution,"Well, it isn't that long, most often, it takes 1 to 2 business days.",0,1,0
Problem Resolution,"The authorisation will be removed from your account once a transaction is already processed.",0,1,0
Problem Resolution,"I can also send a confirmation regarding this call for your reference.",0,1,0
Problem Resolution,"To compensate, I can process a replacement and expedite in the same day shipping.",0,0,1
Problem Resolution,"You don't have to pay for the shipment.",0,1,0
Problem Resolution,"You just have to wait.",0,0,1
Problem Resolution,"I'll get back to you and notify you once the package shipped out.",0,0,1
Problem Resolution,"I'll be tracking the package and I will check with the carrier just to make sure that it will be delivered in the correct address and within a day.",0,0,1
Problem Resolution,"Would that work for you?;",0,0,1
Problem Resolution,"I've successfully processed a replacement and sent you the confirmation regarding this call as your reference.",0,1,0
Problem Resolution,"Expect to receive the products within a day.",0,1,0
Problem Resolution,"And right now, what I can do is to help you resolve this issue.",1,0,1
Problem Resolution,"I assure you amber what happened was an honest mistake.",1,0,1
Problem Resolution,"We would never do that to our customers on purpose.",1,0,0
Problem Resolution,"Of course, you really should have received precisely what you ordered and we failed on that and for that I am truly sorry.",1,0,0
Problem Resolution,"The best thing that i can do for you now is to make sure that this gets resolved as soon as possible.",1,0,1
Problem Resolution,"Alright here's what I'm gonna do.",0,0,1
Problem Resolution,"Because you received the wrong item, I will request to have the correct item sent out to you within 24 business hours.",0,0,1
Problem Resolution,"So if we send it to you today, you should receive the oven before your son's birthday on Thursday.",0,1,0
Problem Resolution,"All I need from you to make that happen is the photo of the wrong item you received along with a photo of the barcode.",0,0,1
Problem Resolution,"Is it possible that you could send to me while we're on the line so I could already process the reshipment for you?",0,0,1
Problem Resolution,"Good point Amber and I understand your doubt.",1,0,1
Problem Resolution,"But, when we encounter this kind of issue where a customer receives a damaged item or as in your case a wrong item, we always make sure to handle the matter with extra care so there will be no second mistake.",1,0,0
Problem Resolution,"No chance for a second mistake happening.",0,0,0
Problem Resolution,"So, that is why aside from the 24 hour shipping, we will also do a thorough recheck of the reshipment.",0,1,0
Problem Resolution,"So, I can definitely assure you that it's going to be the correct item this time.",0,1,0
Problem Resolution,"Um, by the way Amber, do you also have the photo of the barcode of the cutting board?",0,0,1
Problem Resolution,"Yes Amber, I would need it to have your reshipment approved as soon as possible.",0,0,1
Problem Resolution,"After that, we will ship the oven to you immediately and you should receive it within 24 hours.",0,1,0
Problem Resolution,"Um so now, I will forward the photos to the reshipment team and you should receive the oven tomorrow.",0,1,0
Problem Resolution,"About the cutting board you received, you don't have to return it.",0,1,0
Problem Resolution,"Um just feel free to keep it keep it or give it away.",0,0,1
Problem Resolution,"Yeah, yes all you have to do now is to wait for the replacement to arrive tomorrow.",0,0,1
Problem Resolution,"And we will take care of everything and again we are so sorry for this mistake.",1,0,0
Problem Resolution,"However, I've been checking the date that you actually called in for the return.",0,0,1
Problem Resolution,"It's already beyond the timeframe that we ask for refunds.",0,0,0
Problem Resolution,"So what we'll do is I'll go ahead and forward this information to our corporate office and I'll have them check and update you directly about the refund.",0,0,1
Problem Resolution,"So, please expect an email within 2 to 4 business days.",0,1,0
Problem Resolution,"Oh no no no don't don't worry Adam it's only 2 to 4 business days.",1,0,0
Problem Resolution,"Okay I understand and I'll go ahead and forward them the details that I have here.",0,0,1
Problem Resolution,"So I'll send the email to adam_wilson@millfence.com, correct?;",0,0,1
Problem Resolution,"Let me go ahead and set up this order for you.",0,0,1
Problem Resolution,"Alright, well here are a few reasons to consider purchasing today.",0,1,0
Problem Resolution,"It looks as though you haven't updated your vehicle for three years.",0,1,0
Problem Resolution,"So, that would be the equivalent of getting three years worth of updates for the price of one.",0,1,0
Problem Resolution,"In addition, special offers like the current promotion don't come around too often.",0,1,0
Problem Resolution,"I would definitely recommend taking advantage of the extra $50 off before it expires.",0,1,0
Problem Resolution,"If I set this order up for you now , it'll ship out today and for $50 less",0,0,1
Problem Resolution,"Do you have your credit card handy and I can place this order for you now?",0,0,1
Problem Resolution,"Let me process that for you John.",0,0,1
Problem Resolution,"The transaction has been successful.",0,0,0
Problem Resolution,"Just to repeat, we have upgraded your Nissan Map to the latest version 7.7 at a cost of 99 dollars, all inclusive.",0,1,0
Problem Resolution,"According to policy, I can't help you with that but I can give you the peach phone plus the insurance number.",0,1,0
Problem Resolution,"It's gonna take between six and eight weeks to arrive.",0,1,0
Problem Resolution,"Just give me a minute to sort through this.",0,0,0
Problem Resolution,"Look, without insurance, you have to fix it or buy another phone.",0,1,0
Problem Resolution,"Its 799 plus 30 shipping and not including tax.",0,1,0
Problem Resolution,"It's gonna take between 6 to 8 weeks to arrive.",0,1,0
Problem Resolution,"I'm gonna speak with someone that can lower the cost for you.",0,0,1
Problem Resolution,"I'm sorry ma'am I wasn't able to do anything for you about that price.",1,0,0
Problem Resolution,"Look lady, I already told you my name.",0,0,0
Problem Resolution,"It's Kirk and he'll be in or out 11:30 tonight.",0,0,0
Problem Resolution,"You can pay this balance of 69.33 with a credit card.",0,1,0
Problem Resolution,"If you make a payment today, I can waive the late fee of 20.",0,1,0
Problem Resolution,"Would you like to make a payment for 49.33 today in order to avoid further collection action?",0,1,0
Problem Resolution,"Great you can pay with Discover, Mastercard or Visa.",0,1,0
Problem Resolution,"Do you have a credit card ready for this transaction?",0,0,1
Problem Resolution,"I've waived the late fee of 20 and you're making a one-time payment for a total of 49.33 and let me confirm that you approved this transaction.",0,0,1
Problem Resolution,"Yes, I approved it your transaction has been completed and your confirmation number is 845663496.",0,0,0
Problem Resolution,"Your shipping and handling will be free of charge.",0,1,0
Problem Resolution,"So, instead of paying 25.99, you only need to pay 23.00.",0,1,0
Problem Resolution,"Alright, so your order is one dozen of white roses, $40 and a pack of Fran's chocolates that's $9.",0,1,0
Problem Resolution,"A total of $49 free shipping and handling.",0,1,0
Problem Resolution,"Are you good with these?",0,0,0
Problem Resolution,"Would you like to use a Visa, Mastercard or American Express for the payment?",0,0,1
Problem Resolution,"Thank you and the expiration date and cvv code please?",0,0,1
Problem Resolution,"Alright, thank you your order has been successfully processed for a total amount of $49 and it will be shipped within 24 hours.",0,0,0
Problem Resolution,"You can try to check it on the original box of the phone or your phone settings.",0,1,0
Problem Resolution,"So, with that being said, let me proceed with the next part of our troubleshooting steps and this time, I will be needing your partnership.",0,1,1
Problem Resolution,"Can you please go to your phone settings?",0,0,1
Problem Resolution,"From your home screen, try to look for a gear icon and below the icon, you'll see the word settings.",0,1,0
Problem Resolution,"Now, look for general management.",0,1,0
Problem Resolution,"Alright, so, tap reset.",0,0,1
Problem Resolution,"So, before you tap reset network settings, I just want to let you know that this will erase saved wi-fi passwords and bluetooth connections but it won't delete any of your apps or personal data.",0,1,0
Problem Resolution,"Are you okay to proceed?",0,0,1
Problem Resolution,"Now, you'll have to confirm that you want to reset your network settings.",0,0,1
Problem Resolution,"Great, this time we're almost done with our initial troubleshooting steps and the last thing that I want you to do is to power recycle your phone.",0,1,1
Problem Resolution,"So, turn it off and wait 10 seconds, power it on then we'll test it.",0,1,1
Problem Resolution,"Let me call you on your alternate number.",0,0,1
Problem Resolution,"So, don't hang up with this line and listen until you reach me on the other line, okay?",0,0,0
Problem Resolution,"Okay, so you can now disconnect the other line and uh turn off that device and wait 10 seconds before you turn it back on.",0,0,1
Problem Resolution,"Then, let me know once it's on, okay?",0,0,1
Problem Resolution,"So, it's now time for us to test it alright.",0,0,1
Problem Resolution,"So, can you try to call your son now?",0,0,1
Problem Resolution,"We will now proceed in checking your connection.",0,1,0
Problem Resolution,"First, let's reboot your modem.",0,0,1
Problem Resolution,"It's an upright standing box given by your internet provider.",0,1,0
Problem Resolution,"It has a blinking green light on it.",0,1,0
Problem Resolution,"Yes, please go to your modem and at the back there's a tiny black cable that looks like an old cell phone charger.",0,1,1
Problem Resolution,"Great, please unplug it from the modem.",0,0,1
Problem Resolution,"Awesome, now, all the lights will go out.",0,0,0
Problem Resolution,"After 30 seconds, please plug it back, okay?",0,0,1
Problem Resolution,"Now we have to wait two minutes for it to boot up.",0,0,1
Problem Resolution,"Once you see at least four green lights, please let me know.",0,0,1
Problem Resolution,"Can you please try printing?",0,0,1
Problem Resolution,"Let's check if your printer is connected to the same network as your computer.",0,1,0
Problem Resolution,"Please go to your printer and press the menu button.",0,0,1
Problem Resolution,"On the menu, please click the right arrow button to navigate and look for the setup.",0,0,1
Problem Resolution,"It has a wrench icon with screwdriver.",0,1,0
Problem Resolution,"You have to highlight it, then press enter.",0,0,1
Problem Resolution,"Under the setup, please click the down arrow button and select wi-fi setup.",0,0,1
Problem Resolution,"Then, press enter.",0,0,1
Problem Resolution,"Under WIFI setup, do you see the name of your WIFI?",0,1,0
Problem Resolution,"Select it please.",0,0,1
Problem Resolution,"Now it will ask you to type the password or it will say connected if you are connected.",0,0,1
Problem Resolution,"I see you have to highlight the box where you need to type in the password and press enter.",0,0,1
Problem Resolution,"It will give you a keyboard and you have to use the arrow buttons to select a letter and press enter to input the selected letter.",0,0,1
Problem Resolution,"Awesome, just remember that it is case sensitive.",0,1,0
Problem Resolution,"So, you have to put the right password on it.",0,1,0
Problem Resolution,"That's great all the document that's on the queue will be printed now.",0,0,0
Problem Resolution,"Alright, once it's open, you should be seeing a three dots on the upper right corner.",0,0,1
Problem Resolution,"Once you click on it, there will be options available but we select the one that says settings.",0,0,1
Problem Resolution,"Now, after clicking on settings on the left side, you should be seeing there an option that says clear browsing data or clear browsing history.",0,0,1
Problem Resolution,"It says clear browsing history.",0,0,1
Problem Resolution,"Okay you can click that one now.",0,0,1
Problem Resolution,"Actually, it will give you the options to clear the history that was recorded just for today or you can also clear all the browsing history like from the beginning of the time.",0,0,1
Problem Resolution,"Thank you and now I just need your credit card number to complete the reservation.",0,0,1
Problem Resolution,"And, what type of card will you be using today?",0,0,1
Problem Resolution,"Okay and if you're ready, please state the card number.",0,0,1
Problem Resolution,"And, what is the name appearing on the card?",0,0,1
Problem Resolution,"And may I have the expiration date?",0,0,1
Problem Resolution,"Can I also have the last three digits at the back of the card?",0,0,1
Problem Resolution,"Let me check the terms and condition for you.",0,0,1
Problem Resolution,"One moment please.",0,0,1
Problem Resolution,"Welcome and upon checking here, the room that we're trying to book is a refundable room at any time.",0,1,0
Problem Resolution,"So you can cancel your room anytime at no cost.",0,1,0
Problem Resolution,"Alright, so your reservation has been made for the 18th of July for a room with a double bed and view of the ocean.",0,1,0
Problem Resolution,"Check-in is a two o'clock.",0,0,1
Problem Resolution,"Breakfast and dinner is included as well.",0,0,1
Problem Resolution,"And, Roxanne, I will send the details to your email address that you provided to me earlier.",0,0,1
Problem Resolution,"How about a deluxe room instead?",0,0,1
"Problem Resolution","We can transfer you once there's availability.",0,1,0
"Problem Resolution","Perhaps you didn't know that you have new room rates.",0,1,0
"Problem Resolution","For a deluxe room, we have it at 6405 pesos Ms. Hernani per room per night.",0,1,0
"Problem Resolution","Great, would you like to confirm your reservation Ms. Hernani?",0,0,1
"Problem Resolution","Your reservation is now verified.",0,0,1
"Problem Resolution","Yes Ms. Hernani.",0,0,1
"Problem Resolution","Now, I'll need your credit card information to reserve the room for you.",0,1,0
"Problem Resolution","Alright Ms. Hernani, your reservation has been made for the 25th until the 27th of April for a deluxe room with a queen-size bed and of course with a view of the lake.",0,1,0
"Problem Resolution","Your bills will be settled via visa amounting to 12800 pesos.",0,1,0
"Problem Resolution","Check-in is at two o'clock.",0,1,0
"Problem Resolution","Is that correct Ms. Hernani?",0,0,1
"Problem Resolution","We wish to inform you about our 6 o'clock policy.",0,1,0
"Problem Resolution","Please be advised that you have to check in not later than 6:00 p.m.",0,1,0
"Problem Resolution","Otherwise, the hotel reserves the right to give the room to the wait-listed clients.",0,1,0
"Problem Resolution","No problem, I'd be happy to take your info and schedule a return call.",1,0,1
"Problem Resolution","What's the best number to reach you out?",0,0,1
"Problem Resolution","Got it and what would be the best time for you for a return call?",0,0,1
"Problem Resolution","Last name is Smith, S M I T H.",0,0,1
"Problem Resolution","The callback number is 206-555-1234, is that correct?",0,0,1
"Problem Resolution","Okay the office will follow up and give you a call back today after 2pm.",0,0,1
"Problem Resolution","We usually send our products with an extra cable.",0,1,0
"Problem Resolution","Could you take a look inside the box and verify if we sent you another?",0,0,1
"Problem Resolution","According to my system, the extra cable was not included.",0,1,0
"Problem Resolution","I am sorry sir, but this specific item was at a discount at the moment you purchased it.",1,1,0
"Problem Resolution","As a result, we didn't include an extra cable so that we could apply the best price on the device instead of charging you for things you won't need.",1,1,0
"Problem Resolution","If you want, you can order one from us.",0,1,0
"Problem Resolution","We'll ship it within 24 hours.",0,1,0
"Problem Resolution","Since you did pay for your connection, what I can do is to open a ticket or submit a report so that the other department can immediately complete your payment and reconnect your internet as soon as possible.",1,1,0
"Problem Resolution","I am now doing the report and will submit it as soon as I finish this.",0,1,0
"Problem Resolution","Hello sir, kindly expect to have your reconnection within 24 hours.",0,1,0
"Problem Resolution","We will send you a text message informing that you have already paid and connected to the internet service to your phone number.",0,1,0
"Problem Resolution","Alright! So your order is: one dozen of white roses 40$ and a pack of Fran's chocolate that's $9... a total of $49 free shipping and handling...",0,1,0
"Problem Resolution","Thank you. Your order has been successfully processed for a total amount of $49 and it will be shipped within 24 hours.",0,1,0
"Problem Resolution","So give me one moment to see if there is any paper I can provide you. Can I have a call back number for you?",0,0,1
"Problem Resolution","Okay give me one second. Okay, it takes up to 30 minutes to get the email.",0,1,0
"Problem Resolution","Thank you. Let me check your bill now. I see your bill went up this month. It's because of a late payment charge. We received your payment on the 28th, however, your due date is every 15th of the month. That's why there's a $10 difference from your last bill.",1,1,0
"Problem Resolution","I'll be happy to assist you. Alright! I have successfully enrolled your account in autopay. Moving forward, you won't have any late payment charge.",1,0,1
"Problem Resolution","Now let's see, your promotion you're referring to ended 2 weeks ago. I can still sign you up and only at the regular rate which is about 10% more per month than the rate shown on the brochure. Will there be something at your house to make?",1,1,0
"Problem Resolution","Definitely, you're right. I'll go ahead and give you the service at the advertised rate.",1,1,0
"Problem Resolution","Wonderful. I'm pulling up your account now while I'm in the process of doing that, can you go ahead and place me on the speakerphone and log into your my AT&T app so that we can definitely go ahead and look at these charges together and you know reveal ok?",1,0,1
"Problem Resolution","Okay, great. Now, as you see the option that says 'view bill', go ahead and click on 'download view full pdf app'.",0,1,0
"Problem Resolution","Serious apology ma'am. However, there is good news. The company will refund your payment. One of the company's policies is to give a refund for the customers whose orders have not been delivered or shipped.",1,1,0
"Problem Resolution","The process will proceed in your account 20 minutes right after this conversation.",0,1,0
"Problem Resolution","No worries ma'am, the second good news is there will be a 25% increase of the amount rendered, meaning to say your amount will increase to a quarter.",0,1,0
"Problem Resolution","Data error. This is a sophisticated program and a data error can be tricky for anyone. I'm going to connect you to a specialist for this issue. I'll stay with you until you are connected. Does that work for you?",1,1,0
"Problem Resolution","Ok, let's try something new. There is a blue 'hiporonary' icon shown on the taskbar. Please click on it.",0,1,0
"Problem Resolution","I can see here that it shows successful connection.",0,1,0
"Problem Resolution","Ok, now please type this URL address in your browser: http://hiporonaryrouter.local",0,1,0
"Problem Resolution","Now click 'advanced setting'.",0,1,0
"Problem Resolution","Now click the wifi channel box and select 'auto channel' and click save.",0,1,0
Problem Resolution,"now let's check it if you have a internet connection or not",0,0,1
Problem Resolution,"great that means there's no problem on the printer we can now proceed in chechking your connection first let's reboot your modem",0,1,1
Problem Resolution,"ok i'm very sorry about that just let em take down your contact information and i'll contact the lamdlord right away to get this all straightened out",1,0,1
Problem Resolution,"ok mr. matthews i'm gonna pass this information on to the landlord right away and he'll be contacting you shortly",1,0,0
Problem Resolution,"okay no problem I'll pass your message along and somebody should be getting back to you this afternoon",1,0,0
Problem Resolution,"unfortunately I wouldn't be able to quote prices but I can get a hold of someone who would be able to give you a better idea I'm getting them back up throughout the entire house are you a client of ABC",0,1,1
Problem Resolution,"actually mr. berry I'm going to call him right now and patch you directly through to the plumber",0,1,1
Problem Resolution,"they are indeed the only classes that we offer are centered around you and your schedule whenever you find the time to settle down and check out the classes completely up to you",0,1,0
Problem Resolution,"problem for the classes the way that the online classes at Cline del university usually operate are with a homework assignment - every week or so sometimes a paper other times the PowerPoint presentation it really depends on the course and also the instructor",0,1,0
Problem Resolution,"all right you are good to go if I can put you on hold for just a moment I'll get bill on the other line and transfer you right to him is that okay",0,0,1
Problem Resolution,"yes you're correct you receive one free month of lawn services for each person you refer to us so since you referred to people you'll receive two free months of service once they sign up with green lawns",0,1,0
Problem Resolution,"just to send confirmation of this conversation and also as soon as your neighbors sign up with green lawns I can send you your vouchers to that email",0,1,0
Problem Resolution,"Thank You mr. sagen a security specialist will be calling you momentarily",1,0,0
Problem Resolution,"okay if you don't mind staying on the line for just a moment Drake is scheduled as your driver I'm going to give him the call and I'll find out his whereabouts",0,0,1
Problem Resolution,"I spoke with Drake he will be there in five minutes",0,0,0
Problem Resolution,"hey it appears that we do not I'm sorry that we do have that item in stock at Karen's boutique at the hunter mall is that close by it",1,1,0
Problem Resolution,"okay what I will do is make arrangements with karyn's to take for you to exchange the parker scarf at no additional cost and in addition i was able to look up your order in our system and i'm going to send out a special gift to you to make up for the inconvenience",1,1,1
Problem Resolution,"no problem I will page him right away and you'll be hearing from him shortly",0,0,1
Problem Resolution,"I'm going to email you a prepaid shipping label to send back the recalled blender and we will be mailing you our latest model",0,1,1
Problem Resolution,"the large furniture trucks come with two movers you must rent the truck for a minimum of two days due to the distance okay?",0,1,1
Problem Resolution,"I approximated the distance between Philadelphia and Chicago the price will be one thousand $65 per day and you must also pay tolls",0,1,1
Problem Resolution,"okay many of our customers put down 50% of the estimated price as a deposit once arriving at your destination an exact price will be reached and the differenc will be due those customers write out a check at that point",0,1,1
Problem Resolution,"absolutely I'm going to reserve that largest check that we have for September 28 and 29 is this correct?",0,1,0
Problem Resolution,"thanks John I located your information the newest person we have available for your vehicle is version 7.7 which was released in March of 2012 the price of the new map is $99 plus shipping and tax let me go ahead and set up this order for you",0,1,0
Problem Resolution,"if I set this order up for you now it'll ship out today and for $50 less do you have your credit card handy and I can place this order for you now",0,1,1
Problem Resolution,"I believe there's one here ok my apologies it's on Thursday at 5 p.m",0,1,0
Problem Resolution,"very well ma'am so I'll Book you for a meeting with counselor Smith on Thursday at 5 p.m",0,1,0
Problem Resolution,"ok here what i could for you since you have been with us for more than 5 years i'm gonna get you a free modem andm you will get it by tomorrow",1,0,1
Problem Resolution,"and also i'll sign you up for a 6 bmonths trial speed upgrade",1,0,1
Problem Resolution,"Kindly check if the computer is properly plugged in",0,0,1
Problem Resolution,"Now try to push the power button in the System Unit – CPU",0,0,1
Problem Resolution,"Can you turn on the light in your room",0,0,1
Problem Resolution,"Sir",0,0,0
